suburb,lat,lon
ERMINGTON,-33.814144,151.054495
RYDALMERE,-33.811244,151.034464
DUNDAS,-33.799405,151.044189
DUNDAS VALLEY,-33.78724,151.061185
OATLANDS,-33.796298,151.026314
TELOPEA,-33.795986,151.045106
CARLINGFORD,-33.782959,151.047707
CARLINGFORD COURT,-33.776166,151.0524
CARLINGFORD NORTH,-33.763237,151.047719
KINGSDENE,-33.784272,151.02806
BEECROFT,-33.749498,151.064533
CHELTENHAM,-33.76169,151.079364
PENNANT HILLS,-33.738681,151.071433
THORNLEIGH,-33.730816,151.081226
WESTLEIGH,-33.711956,151.072836
EPPING,-33.772549,151.082365
NORTH EPPING,-33.759777,151.087742
EASTWOOD,-33.789986,151.080914
MARSFIELD,-33.783971,151.094241
WEST PENNANT HILLS,-33.753676,151.039113
CHERRYBROOK,-33.722019,151.041806
HOMEBUSH BAY,-33.85283,151.076186
NEWINGTON,-33.839276,151.054828
SILVERWATER,-33.835928,151.047591
SYDNEY MARKETS,-33.871209,151.191884
SUMMER HILL,-33.891712,151.137258
ASHFIELD,-33.889498,151.127444
CROYDON,-33.883163,151.114771
CROYDON PARK,-33.895299,151.108581
ENFIELD SOUTH,-33.895575,151.093456
BURWOOD,-33.877423,151.103682
BURWOOD NORTH,-33.876154,151.103933
STRATHFIELD,-33.873913,151.093993
BURWOOD HEIGHTS,-33.888328,151.103412
ENFIELD,-33.886854,151.092425
STRATHFIELD SOUTH,-33.891711,151.082992
BREAKFAST POINT,-33.841583,151.107502
CABARITA,-33.849081,151.113765
CONCORD,-33.857857,151.103502
MORTLAKE,-33.843435,151.10698
NORTH STRATHFIELD,-33.85746,151.091954
CONCORD WEST,-33.848041,151.087326
LIBERTY GROVE,-33.841665,151.083609
RHODES,-33.830764,151.088105
CONCORD REPATRIATION HOSPITAL,-33.837702,151.095046
HOMEBUSH,-33.859654,151.081847
HOMEBUSH SOUTH,-33.867767,151.08447
HOMEBUSH WEST,-33.866788,151.069369
BERALA,-33.871904,151.031033
LIDCOMBE,-33.865218,151.043519
LIDCOMBE NORTH,-33.854197,151.047419
ROOKWOOD,-33.866398,151.058147
BLAXCELL,-33.853251,151.008129
CAMELLIA,-33.816872,151.022191
CLYDE,-33.832322,151.019414
GRANVILLE,-33.835887,151.01064
HOLROYD,-33.829836,150.993334
ROSEHILL,-33.819992,151.024558
SOUTH GRANVILLE,-33.863022,151.006224
BIRRONG,-33.89022,151.022398
POTTS HILL,-33.898247,151.031087
REGENTS PARK,-33.883928,151.023796
AUBURN,-33.849322,151.033421
GIRRAWEEN,-33.799843,150.947276
GREYSTANES,-33.829667,150.951452
MAYS HILL,-33.82066,150.990511
PEMULWUY,-33.821944,150.923752
PENDLE HILL,-33.801912,150.955614
SOUTH WENTWORTHVILLE,-33.823892,150.969376
WENTWORTHVILLE,-33.805922,150.970183
WESTMEAD,-33.805332,150.986608
OLD TOONGABBIE,-33.792713,150.974108
TOONGABBIE,-33.788942,150.950644
TOONGABBIE EAST,-33.788155,150.960639
KINGS LANGLEY,-33.742079,150.922711
LALOR PARK,-33.761339,150.930337
SEVEN HILLS,-33.775477,150.934257
SEVEN HILLS WEST,-33.771047,150.923871
ARNDELL PARK,-33.787266,150.871959
BLACKTOWN,-33.770184,150.908501
BLACKTOWN WESTPOINT,-33.770162,150.905148
HUNTINGWOOD,-33.797537,150.879863
KINGS PARK,-33.745736,150.904598
MARAYONG,-33.746168,150.898338
PROSPECT,-33.801553,150.916198
HARRIS PARK,-33.822427,151.008961
PARRAMATTA,-33.816957,151.003451
PARRAMATTA WESTFIELD,-33.817717,151.001359
NORTH PARRAMATTA,-33.798043,151.010707
NORTH ROCKS,-33.768119,151.02854
NORTHMEAD,-33.783849,150.994336
BAULKHAM HILLS,-33.758601,150.992887
BELLA VISTA,-33.737345,150.95501
WINSTON HILLS,-33.776054,150.987795
CASTLE HILL,-33.732307,151.005616
BEAUMONT HILLS,-33.703416,150.946875
KELLYVILLE,-33.712415,150.958009
KELLYVILLE RIDGE,-33.700104,150.92865
ROUSE HILL,-33.682068,150.915397
ANNANGROVE,-33.657772,150.943505
GLENHAVEN,-33.703218,151.006899
KENTHURST,-33.661023,151.005034
CANOELANDS,-33.508714,151.061148
FOREST GLEN,-33.549519,151.012846
GLENORIE,-33.620011,151.023035
DURAL,-33.681875,151.028435
MIDDLE DURAL,-33.648471,151.021276
ROUND CORNER,-33.695103,151.017906
ARCADIA,-33.623101,151.052726
BERRILEE,-33.61497,151.095573
FIDDLETOWN,-33.602321,151.055702
GALSTON,-33.652661,151.043059
MERRYLANDS,-33.836381,150.989219
MERRYLANDS WEST,-33.832864,150.972036
GUILDFORD,-33.853984,150.985958
GUILDFORD WEST,-33.851099,150.972299
OLD GUILDFORD,-33.867084,150.988073
YENNORA,-33.860889,150.969356
CHESTER HILL,-33.883157,151.001185
SEFTON,-33.885501,151.011469
CARRAMAR,-33.884558,150.961884
LANSDOWNE,-33.893687,150.971005
VILLAWOOD,-33.883679,150.976468
SMITHFIELD,-33.853546,150.940431
SMITHFIELD WEST,-33.850834,150.922215
WETHERILL PARK,-33.847512,150.913204
WOODPARK,-33.84063,150.961859
FAIRFIELD,-33.868529,150.955512
FAIRFIELD EAST,-33.869449,150.977528
FAIRFIELD HEIGHTS,-33.864603,150.938451
FAIRFIELD WEST,-33.868955,150.922057
CABRAMATTA,-33.89507,150.935889
CABRAMATTA WEST,-33.899136,150.917514
CANLEY HEIGHTS,-33.883633,150.923895
CANLEY VALE,-33.887291,150.943275
LANSVALE,-33.89733,150.952786
GLENFIELD,-33.971305,150.894517
ASHCROFT,-33.917587,150.899095
BUSBY,-33.910896,150.875155
CARTWRIGHT,-33.926577,150.890356
GREEN VALLEY,-33.903526,150.86636
HECKENBERG,-33.911083,150.889921
HINCHINBROOK,-33.916611,150.863863
SADLEIR,-33.920629,150.890212
CASULA,-33.94735,150.907753
CASULA MALL,-33.950422,150.909367
CHIPPING NORTON,-33.916829,150.961662
HAMMONDVILLE,-33.948113,150.953727
LIVERPOOL,-33.92505,150.924429
LIVERPOOL SOUTH,-33.933376,150.906608
LIVERPOOL WESTFIELD,-33.918951,150.923868
LURNEA,-33.931947,150.896105
MOOREBANK,-33.933805,150.953602
MOUNT PRITCHARD,-33.894817,150.90304
PRESTONS,-33.942903,150.872145
WARWICK FARM,-33.913423,150.932752
CECIL HILLS,-33.883696,150.853171
HORNINGSEA PARK,-33.945088,150.842975
HOXTON PARK,-33.92678,150.857888
MIDDLETON GRANGE,-33.914093,150.843547
WEST HOXTON,-33.922272,150.839967
PLEASURE POINT,-33.966909,150.98764
SANDY POINT,-33.975419,150.993967
VOYAGER POINT,-33.964547,150.97238
HOLSWORTHY,-33.950403,150.949972
WATTLE GROVE,-33.963316,150.936403
HORSLEY PARK,-33.845034,150.848192
ABBOTSBURY,-33.877538,150.867768
BOSSLEY PARK,-33.86626,150.88415
EDENSOR PARK,-33.877057,150.875292
GREENFIELD PARK,-33.872187,150.889408
PRAIRIEWOOD,-33.867342,150.90213
ST JOHNS PARK,-33.885824,150.905403
WAKELEY,-33.873966,150.90888
BONNYRIGG,-33.888801,150.886505
BONNYRIGG HEIGHTS,-33.892667,150.868448
CECIL PARK,-33.87478,150.838225
KEMPS CREEK,-33.88013,150.790485
MOUNT VERNON,-33.862377,150.807887
AUSTRAL,-33.933109,150.812031
LEPPINGTON,-33.964333,150.81727
CHULLORA,-33.892441,151.055898
GREENACRE,-33.906744,151.057271
MOUNT LEWIS,-33.917157,151.047838
BELFIELD,-33.902107,151.083553
BELMORE,-33.916035,151.0875
ASHBURY,-33.901897,151.11932
CANTERBURY,-33.910848,151.121145
HURLSTONE PARK,-33.909964,151.13224
CAMPSIE,-33.914373,151.103465
LAKEMBA,-33.920457,151.075921
WILEY PARK,-33.922464,151.068194
