city,code,Families,for all families,lon,for families with children,Average children per family,lat
North Wahroonga,13015,592,1,151.123179,1.8,None,-33.702704
Murringo,12858,103,0.6,148.509953,1.8,None,-34.272867
Ewingsdale,11474,191,0.6,153.557753,1.7,None,-28.637032
Martinsville,12512,101,0.7,151.406243,1.7,None,-33.055785
Beechwood,10248,171,0.9,152.678408,2,None,-31.436805
Darlington (Sydney - NSW),11214,378,0.2,151.1933,1.5,None,-33.8909
Glendenning,11659,1379,1.3,150.855174,1.9,None,-33.739075
Candelo,10788,190,0.6,149.695188,1.9,None,-36.767311
Cardiff Heights,10810,375,0.7,151.672253,1.8,None,-32.936219
Kyeemagh,12226,251,0.9,151.159943,1.8,None,-33.951452
Glenridding,11676,65,0.5,151.157167,1.7,None,-32.581778
Sydney Olympic Park,13716,438,0.3,151.0665,1.4,None,-33.8394
Cudal,11140,162,0.8,148.738898,1.9,None,-33.286704
Gerroa,11607,171,0.6,150.815611,1.8,None,-34.770171
Millfield,12620,244,0.9,151.264273,1.9,None,-32.888506
Larnook,12279,87,0.7,153.11767,1.8,None,-28.645794
Pallamallawa,13131,110,0.6,150.136975,1.8,None,-29.475108
Wildes Meadow,14292,76,0.6,150.530044,2.4,None,-34.618189
Toothdale,13914,54,0.7,149.764434,1.9,None,-36.7906
Binjura,10370,88,0.8,149.10666,2.1,None,-36.180676
Ramornie,13308,53,0.6,152.782792,1.8,None,-29.640683
Murrays Run,12855,45,0.3,151.1751,1.3,None,-33.0742
Pampoolah,13142,108,0.6,152.512723,1.9,None,-31.931374
Campsie,10782,6460,0.7,151.103465,1.6,None,-33.914373
Crackenback,11103,37,0.5,148.511421,1.5,None,-36.441153
Ingleburn,11978,4024,0.9,150.866344,1.8,None,-33.998718
Castlecrag,10849,817,1.1,151.212643,2,None,-33.802403
Blaxlands Ridge,10409,129,1.1,150.712367,2,None,-33.502253
Mount Victoria,12797,241,0.5,150.251161,1.7,None,-33.588561
Howlong,11950,732,0.6,146.60586,1.9,None,-35.958568
Stuart Town,13680,60,0.6,149.077263,1.8,None,-32.805688
Oatley,13064,2935,0.9,151.082765,1.9,None,-33.981428
Goolgowi,11705,109,0.7,145.708082,1.9,None,-33.983547
Yarrawonga (NSW),14486,104,0.7,149.65883,1.8,None,-32.356621
Double Bay,11281,1126,0.4,151.243095,1.6,None,-33.87906
Batehaven,10228,460,0.5,150.199539,1.7,None,-35.73211
Upper Crystal Creek,14021,56,0.6,153.303819,1.8,None,-28.282291
Empire Bay,11415,681,0.9,151.362188,1.8,None,-33.494186
Gregory Hills,11774,1389,1,150.7761,1.8,None,-34.0272
Aberdare,10006,657,0.7,151.376514,1.8,None,-32.8442
Safety Beach (NSW),13462,283,0.6,153.192452,1.9,None,-30.096684
White Cliffs,14274,29,0.4,143.083844,1.8,None,-30.850444
Rollands Plains,13392,46,0.5,152.624248,1.5,None,-31.23771
Tomingley,13896,82,0.6,148.217991,1.9,None,-32.556854
Middle Pocket,12606,34,0.7,153.48262,1.5,None,-28.493352
Pitt Town Bottoms,13227,21,0.8,150.841424,1.9,None,-33.596291
Pagewood,13125,986,0.9,151.228411,1.9,None,-33.940108
Blayney,10410,876,0.7,143.8209,1.9,None,-38.6849
Bligh Park,10411,1740,1,150.79458,1.9,None,-33.63765
South West Rocks,13600,1287,0.5,153.040452,1.8,None,-30.884423
Tumbi Umbi,13962,1457,0.9,151.447302,1.9,None,-33.362679
Tamarama,13741,386,0.5,151.271839,1.7,None,-33.897439
Gymea Bay,11827,1908,1.2,151.086087,2,None,-34.048156
Kanwal,12067,965,0.9,151.479653,2,None,-33.263412
Orangeville,13094,341,1.1,150.573125,2.1,None,-34.04279
Baradine,10190,198,0.5,149.065815,1.8,None,-30.943207
Woodberry,14377,810,0.9,151.665395,1.9,None,-32.793692
Bar Beach,10187,272,0.6,151.768383,2,None,-32.939962
Tomago,13889,57,0.3,151.757485,1.6,None,-32.818383
Eurunderee,11467,49,0.6,149.608821,1.7,None,-32.52605
Darlington (Singleton - NSW),11213,106,0.7,151.1601,1.7,None,-32.5594
Minnamurra,12639,226,0.6,150.855113,1.9,None,-34.627871
Raleigh,13307,172,0.7,152.994874,1.8,None,-30.480738
Tacoma South,13725,72,0.9,151.457044,2,None,-33.289592
Falls Creek (NSW),11487,274,0.7,150.596929,1.8,None,-34.968232
Mount Druitt,12756,4195,1.2,150.811583,2,None,-33.772053
Menangle Park,12569,71,0.8,150.757016,1.7,None,-34.100121
Georges Plains,11602,57,0.9,149.523182,2.2,None,-33.515629
Rose Bay (NSW),13398,2623,0.7,151.280456,1.7,None,-33.866555
Agnes Banks,10021,228,1.2,150.707372,2.1,None,-33.618877
Lismore (NSW),12344,753,0.6,153.269477,1.7,None,-28.809302
Kiama Heights,12118,250,0.7,150.843492,1.8,None,-34.697929
Cumbalum,11154,436,1,153.525966,2,None,-28.825835
Wyndham (NSW),14443,96,0.4,149.6338,1.5,None,-36.9222
Huntleys Point,11961,37,0.6,151.145968,1.9,None,-33.840088
Willmot,14302,583,1.1,150.791569,2.2,None,-33.727621
Little Hartley,12352,148,0.6,150.208607,1.7,None,-33.571701
Grong Grong,11784,58,0.5,146.781265,1.9,None,-34.73818
Broke (NSW),10590,140,1,151.103474,2.2,None,-32.751222
Albury,10027,1122,0.5,146.890443,1.8,None,-36.073344
Butterwick,10725,47,0.7,151.639005,1.6,None,-32.658257
Tyalgum,13994,135,0.9,153.160681,2.1,None,-28.346657
Grasmere,11739,440,0.8,150.67317,2.1,None,-34.056293
Bribbaree,10566,40,0.5,147.873721,1.9,None,-34.121252
North Curl Curl,12988,1065,1.2,151.295691,2,None,-33.761652
Kootingal,12194,597,0.8,151.054338,1.9,None,-31.057413
Thornleigh,13850,2310,1,151.081226,1.9,None,-33.730816
Glen Alpine,11645,1323,1.1,150.775275,2,None,-34.084184
Artarmon,10090,2539,0.7,151.189662,1.6,None,-33.807664
Stokers Siding,13664,177,0.7,153.403631,1.9,None,-28.393503
Borenore,10513,121,0.9,148.974505,2,None,-33.247292
Boggabilla,10441,228,1.1,150.415347,2.2,None,-28.744821
Warriewood,14173,2044,1,151.29908,1.9,None,-33.686265
Inverell,11981,3069,0.7,151.229884,1.9,None,-29.748424
Kalaru,12051,176,0.8,149.939572,2,None,-36.736047
Kingfisher Shores,12146,50,0.6,151.5572,1.7,None,-33.1714
Invergowrie,11983,220,0.8,151.498196,2,None,-30.497561
North Strathfield,13009,1165,0.6,151.091954,1.6,None,-33.85746
Wagga Wagga,14083,1536,0.4,151.904484,1.7,None,-30.569822
Whale Beach,14267,67,0.4,151.330438,1.8,None,-33.614274
South Gundurimba,13585,90,0.7,153.258782,1.5,None,-28.887662
Carroll,10832,84,0.8,149.438586,2,None,-30.087425
The Slopes,13842,90,1,150.708405,1.9,None,-33.532102
Boambee,10421,474,0.8,153.084224,1.9,None,-30.34062
Werris Creek,14238,386,0.5,150.619915,1.8,None,-31.345921
North Sydney,13010,1855,0.3,151.208276,1.5,None,-33.837788
Farrants Hill,11493,38,0.3,153.485658,1.6,None,-28.316723
