city,code,People,lon,Median age,Female,lat,Male
Oberon,13068,3256,149.7741,45,0.501,-33.6677,0.499
McMahons Point,12547,2278,151.20425,42,0.523,-33.84464,0.477
Branxton,10549,1991,151.363965,39,0.504,-32.655999,0.496
East Wardell,11365,305,153.466641,45,0.518,-28.956977,0.482
Lakewood,12259,1191,152.756608,56,0.509,-31.635267,0.491
South Nowra,13594,1928,150.60221,32,0.52,-34.898363,0.48
Blue Bay,10414,1027,151.500048,50,0.527,-33.357184,0.473
Carey Bay,10812,896,151.605836,56,0.573,-33.027126,0.427
Wardell,14144,832,153.464326,45,0.465,-28.952703,0.535
Mumbil,12832,291,149.049691,51,0.5,-32.725539,0.5
Bungendore,10684,4178,149.440417,38,0.498,-35.256083,0.502
Hamilton Valley,11842,566,146.919729,31,0.499,-36.037497,0.501
Greenwell Point,11769,1209,150.729736,58,0.472,-34.907929,0.528
Mandalong,12465,426,151.414627,40,0.508,-33.145241,0.492
Toukley,13925,4550,151.540695,49,0.508,-33.265459,0.492
Valla,14067,936,153.008479,45,0.51,-30.591805,0.49
Narrabeen,12902,8207,151.293622,45,0.525,-33.702661,0.475
Moorbel,12709,238,148.69457,44,0.436,-33.566841,0.564
Mullengandra,12823,124,147.180565,45,0.554,-35.87712,0.446
Duri,11332,532,153.258782,44,0.49,-28.887662,0.51
Keinbah,12084,116,151.399632,39,0.525,-32.760031,0.475
Cameron Park,10775,7995,151.655731,32,0.513,-32.933952,0.487
Swan Creek (NSW),13706,111,152.981609,41,0.425,-29.668607,0.575
Sussex Inlet,13700,3575,150.596247,60,0.496,-35.157009,0.504
Bootawa,10504,169,152.373581,52,0.512,-31.914391,0.488
Lloyd,12365,838,147.335216,32,0.518,-35.14755,0.482
North Manly,12997,3090,151.269339,38,0.501,-33.775702,0.499
Warners Bay,14153,7614,151.644682,43,0.529,-32.975418,0.471
Cumborah,11158,249,147.767956,55,0.42,-29.742525,0.58
Belimbla Park,10261,581,150.543085,41,0.507,-34.075888,0.493
Fishermans Reach,11524,157,152.996244,54,0.435,-30.851981,0.565
Gwabegar,11823,162,148.96949,46,0.513,-30.619798,0.487
Fairfield (NSW),11477,18081,150.955512,36,0.504,-33.868529,0.496
Lake Innes,12251,426,152.823635,44,0.506,-31.481465,0.494
Spring Ridge,13619,240,150.683758,43,0.443,-31.498483,0.557
Mount Fairy,12758,205,149.59895,47,0.464,-35.166753,0.536
Royalla,13434,984,149.16269,41,0.487,-35.512227,0.513
Pretty Beach (Central Coast - NSW),13261,352,151.3479,51,0.49,-33.5268,0.51
Dapto,11202,10730,150.793006,40,0.51,-34.494001,0.49
Bringelly,10575,2507,150.725207,39,0.485,-33.945707,0.515
The Entrance North,13819,1474,151.511249,43,0.509,-33.326254,0.491
Heckenberg,11887,3094,150.889921,32,0.529,-33.911083,0.471
Kearsley,12080,861,151.395667,35,0.467,-32.858649,0.533
