city,lat,code,lon,people
Wambrook,-36.207892,14125,148.946956,44
Narrabeen,-33.702661,12902,151.293622,8207
Howell,-29.940705,11947,151.060621,35
Kingsgate,-29.811793,12157,151.998286,5
Woodhouselee,-34.570439,14386,149.63111,15
Tyalgum Creek,-28.346657,13995,153.160681,107
Ballalaba,-35.572682,10158,149.666842,22
Goonengerry,-28.61079,11712,153.439674,366
Freemans Reach,-33.545429,11564,150.794878,1973
Terranora,-28.240724,13802,153.502795,2926
Corobimilla,-34.868082,11079,146.413618,71
Mount Rankin,-33.316695,12786,149.496674,379
Corrabare,-32.959255,11081,151.238952,10
Monak,-34.301472,12673,142.532797,49
Maxwell,-35.297673,12527,147.335189,90
The Marra,-30.879083,13829,147.366759,58
Cameron Park,-32.933952,10775,151.655731,7995
Swan Creek (NSW),-29.668607,13706,152.981609,111
Sussex Inlet,-35.157009,13700,150.596247,3575
Bootawa,-31.914391,10504,152.373581,169
Lower Peacock,-28.77131,12411,152.597908,6
Lloyd,-35.14755,12365,147.335216,838
Woodstock (Inverell - NSW),-29.732366,14395,151.364377,32
Warraderry,-33.757869,14156,148.205709,94
Bella Vista,-33.737345,10263,150.95501,7837
Rosehill (NSW),-33.819992,13408,151.024558,3806
Toorooka,-30.91295,13913,152.587524,47
East Kangaloon,-34.526695,11353,150.610248,83
Cumborah,-29.742525,11158,147.767956,249
Jaspers Brush,-34.803323,12002,150.657592,359
Fishermans Reach,-30.851981,11524,152.996244,157
Gwabegar,-30.619798,11823,148.96949,162
Red Rock,-34.7698,13334,150.5214,435
Tipperary (NSW),-32.065835,13881,152.154231,31
Lake Innes,-31.481465,12251,152.823635,426
The Brothers,-36.34749,13815,149.065485,35
Mount Fairy,-35.166753,12758,149.59895,205
Hyams Beach,-35.101726,11967,150.681004,112
Spring Ridge,-31.498483,13619,150.683758,240
Dapto,-34.494001,11202,150.793006,10730
Quakers Hill,-33.728356,13286,150.881177,27080
Kalang,-30.508285,12050,152.774243,266
The Entrance North,-33.326254,13819,151.511249,1474
Box Ridge,-31.451631,10540,149.484056,48
Debenham,-31.441055,11226,152.248757,7
Mullaley,-31.098523,12820,149.908463,154
Breelong,-31.811735,10560,148.799571,59
Burnt Yards,-33.585625,10695,149.031455,32
Darkes Forest,-34.214374,11209,150.950643,115
Faulkland,-32.062122,11497,151.877539,77
Wyanbene,-35.774689,14433,149.675965,33
South Arm (Nambucca - NSW),-30.6965,13575,152.7482,313
South Arm (Clarence Valley - NSW),-25.047,13574,152.2872,237
Nundle,-31.462548,13043,151.127044,496
Mingoola (NSW),-28.990857,12635,151.527234,18
Mosman,-33.829077,12738,151.24409,28475
Carool,-28.230291,10822,153.419146,174
Wheeler Heights,-33.732476,14268,151.277439,2986
Uranquinty,-35.194776,14055,147.243051,909
North Wahroonga,-33.702704,13015,151.123179,1998
Lerida,-31.818753,12306,145.716439,24
Coralville,-31.78274,11064,152.718136,141
Gostwyck,-30.702244,11724,151.632544,27
Murringo,-34.272867,12858,148.509953,365
Jerrawangala,-35.095016,12019,150.443219,70
Middlingbank,-36.216412,12608,148.809771,14
Ewingsdale,-28.637032,11474,153.557753,825
Timbillica,-37.358462,13869,149.722269,9
Mogareeka,-36.698431,12656,149.975982,56
Primbee,-34.500655,13264,150.881602,1640
Carrington (Mid-Coast - NSW),-32.916023,10829,151.765725,30
Galore,-35.006426,11581,146.893574,95
Darlington (Sydney - NSW),-33.8909,11214,151.1933,3097
Erina,-29.5364,11433,146.7306,4774
Candelo,-36.767311,10788,149.695188,686
Neringla,-35.730751,12928,149.79214,19
Kyeemagh,-33.951452,12226,151.159943,919
Calala,-31.129764,10748,150.946878,3927
Sydney Olympic Park,-33.8394,13716,151.0665,1736
Charlton (NSW),-33.679428,10888,149.62245,26
Cudal,-33.286704,11140,148.738898,553
Boomi Creek,-28.470421,10490,152.603955,20
Lost River,-34.4335,12391,149.3222,75
Newcastle East,-32.927881,12950,151.788039,1004
Larnook,-28.645794,12279,153.11767,376
Nullamanna,-29.671265,13032,151.22239,158
Pallamallawa,-29.475108,13131,150.136975,448
