city,lat,ancestry_num,top_ancestry,lon,code
Thornleigh,-33.730816,2666,English,151.081226,13850
Glen Alpine,-34.084184,1470,English,150.775275,11645
Artarmon,-33.807664,2191,Chinese,151.189662,10090
Stokers Siding,-28.393503,261,English,153.403631,13664
Borenore,-33.247292,215,English,148.974505,10513
Boggabilla,-28.744821,507,Australian Aboriginal,150.415347,10441
Warriewood,-33.686265,3033,English,151.29908,14173
Inverell,-29.748424,5732,Australian,151.229884,11981
Kalaru,-36.736047,307,English,149.939572,12051
Kingfisher Shores,-33.1714,86,Australian,151.5572,12146
Invergowrie,-30.497561,353,English,151.498196,11983
North Strathfield,-33.85746,1053,Chinese,151.091954,13009
Wagga Wagga,-30.569822,2753,English,151.904484,14083
Whale Beach,-33.614274,103,English,151.330438,14267
South Gundurimba,-28.887662,167,Australian,153.258782,13585
Carroll,-30.087425,173,Australian,149.438586,10832
The Slopes,-33.532102,139,English,150.708405,13842
Boambee,-30.34062,744,English,153.084224,10421
Werris Creek,-31.345921,847,Australian,150.619915,14238
North Sydney,-33.837788,2355,English,151.208276,13010
Farrants Hill,-28.316723,64,English,153.485658,11493
Kurraba Point,-36.3901,626,English,149.4235,12217
North Gosford,-33.41684,1447,English,151.348821,12991
Wee Waa,-30.224868,999,Australian,149.444421,14211
Lake Illawarra,-34.546473,1288,Australian,150.85695,12250
San Remo (NSW),-33.209738,2046,Australian,151.51616,13470
Berrima,-34.504395,272,English,150.332394,10320
Mandurama,-33.648855,169,English,149.075273,12467
Elermore Vale,-32.916279,2296,Australian,151.675532,11394
Illawong,-33.998018,2237,English,151.042591,11974
Maryvale (NSW),-32.464179,102,Australian,148.899155,12517
Parklea,-33.728123,581,Indian,150.923807,13153
Swansea Heads,-33.09521,306,English,151.657053,13712
Arrawarra Headland,-30.059771,248,English,153.202738,10089
Tintenbar,-28.79659,354,English,153.513163,13878
Tucabia,-29.669036,165,English,153.107275,13945
Cartwrights Hill,-35.069754,93,English,147.389575,10839
Gleniffer,-30.386799,161,Australian,152.901504,11668
Glenwood (NSW),-33.737863,3155,Australian,150.922732,11682
Mylestom,-30.464762,175,Australian,153.042817,12875
Canobolas,-33.298346,217,English,149.047339,10793
Johns River,-31.733492,146,Australian,152.695147,12037
Wallarobba,-32.497237,83,Australian,151.697483,14111
The Entrance,-33.326254,1599,English,151.511249,13818
Woodpark,-33.84063,363,Australian,150.961859,14390
Whittingham,-32.604494,182,Australian,151.201067,14279
Rushcutters Bay,-33.87624,834,English,151.228614,13444
Stonehenge (NSW),-29.8299,73,English,151.7249,13665
Bohena Creek,-30.439473,92,Australian,149.66193,10444
Roselands,-33.933167,1754,Greek,151.073197,13409
Myocum,-28.576877,393,English,153.503992,12877
Girraween (NSW),-33.799843,1848,Indian,150.947276,11636
Lightning Ridge,-29.425724,1014,Australian,147.979236,12320
Pheasants Nest,-34.255973,283,Australian,150.635599,13191
Bowna,-35.964984,57,English,147.130856,10534
Upsalls Creek,-31.633347,54,Australian,152.659543,14049
Yamba (NSW),-29.437064,2724,English,153.361445,14458
Pitt Town,-33.596291,1338,Australian,150.841424,13226
Constitution Hill,-33.793,914,Australian,150.975,11014
Cobargo,-36.38761,362,Australian,149.887772,10951
Lakesland,-34.18087,191,Australian,150.526834,12258
Bellingen,-30.446069,1711,English,152.897966,10273
Wilcannia,-31.558559,368,Australian Aboriginal,143.377976,14290
Martins Creek,-32.555529,199,Australian,151.612337,12511
Repton,-30.438888,304,Australian,153.022416,13352
Nambucca Heads,-30.642442,2732,English,153.002886,12887
Bawley Point,-35.522387,296,English,150.393202,10235
Gulargambone,-31.329692,277,Australian,148.471189,11792
Darlinghurst,-33.879825,3411,English,151.21956,11212
Marulan,-34.76026,581,Australian,150.03039,12513
Kulnura,-33.225924,272,Australian,151.222101,12206
Mullaway,-30.077053,240,Australian,153.200245,12822
Caddens,-33.771,412,English,150.7327,10743
New Lambton,-32.932574,4426,English,151.690553,12942
Fernmount,-30.468067,172,English,152.959265,11509
Maroota,-33.52308,228,Australian,150.948575,12500
Waterfall,-34.1352,236,Australian,150.994957,14182
Lilyfield,-33.872991,2686,English,151.165788,12325
Maimuru,-34.252818,69,Australian,148.235113,12444
Glenfield Park,-35.13891,2335,Australian,147.334699,11665
Kilaben Bay,-33.024534,675,Australian,151.587294,12125
Winton (NSW),-31.079338,92,Australian,150.763349,14336
Windsor Downs,-33.667695,397,Australian,150.803079,14326
Yellow Rock (Shellharbour - NSW),-34.6017,86,Australian,150.7374,14503
Ashford (NSW),-29.321245,301,Australian,151.096081,10099
Jeremadra,-35.809125,86,Australian,150.136599,12012
Wakefield,-32.956584,63,English,151.560504,14088
Narwee,-33.948609,1968,Chinese,151.069628,12912
Wakeley,-33.873966,879,Vietnamese,150.90888,14089
Warrimoo,-33.722958,1095,Australian,150.604162,14174
Bateau Bay,-33.381213,5394,English,151.479104,10227
Terara,-34.865447,114,English,150.627436,13795
Bexley,-33.959548,2645,Chinese,151.117388,10334
Birrong,-33.89022,655,Vietnamese,151.022398,10379
Robertson (NSW),-34.589237,798,English,150.596418,13374
Garden Suburb,-32.948355,784,English,151.683365,11587
Gowrie (Singleton - NSW),-28.1853,167,Australian,153.2775,11729
Gloucester,-32.049433,1584,Australian,151.625369,11685
Caragabal,-33.843829,85,English,147.739256,10806
Connells Point,-33.991871,610,English,151.089495,11013
Lane Cove North,-33.807556,2980,English,151.170912,12267
Bundabah,-32.662213,60,English,152.074063,10668
Denman,-32.389403,925,Australian,150.686422,11241
