city,code,Median weekly household income,lon,All private dwellings,Average people per household,lat,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Mandalong,12465,1771,151.414627,148,3,-33.145241,2025,315,2.5
Toukley,13925,903,151.540695,2244,2.2,-33.265459,1602,300,1.5
Valla,14067,1245,153.008479,366,2.8,-30.591805,1733,270,2.3
Narrabeen,12902,1582,151.293622,4082,2,-33.702661,2311,515,1.4
Moorbel,12709,949,148.69457,102,2.3,-33.566841,1200,200,2
Mullengandra,12823,1357,147.180565,53,2.3,-35.87712,1517,0,2
Duri,11332,1447,153.258782,212,2.7,-28.887662,1500,230,2.4
Keinbah,12084,1875,151.399632,43,2.7,-32.760031,2000,280,2.5
Cameron Park,10775,2103,151.655731,2574,3.2,-32.933952,2167,470,2.2
Swan Creek (NSW),13706,1016,152.981609,49,2.8,-29.668607,1170,226,2
Sussex Inlet,13700,768,150.596247,2429,2,-35.157009,1300,250,1.6
Bootawa,10504,1062,152.373581,78,2.2,-31.914391,1257,100,2.2
Lloyd,12365,2005,147.335216,314,2.8,-35.14755,1800,380,2
North Manly,12997,2571,151.269339,1023,3.2,-33.775702,3200,678,1.9
Warners Bay,14153,1231,151.644682,3323,2.4,-32.975418,1800,350,1.7
Cumborah,11158,491,147.767956,289,2,-29.742525,0,0,1.6
Belimbla Park,10261,1980,150.543085,186,3.2,-34.075888,2167,400,2.9
Fishermans Reach,11524,665,152.996244,94,1.9,-30.851981,658,200,1.5
Gwabegar,11823,739,148.96949,76,2.3,-30.619798,400,50,1.9
Fairfield (NSW),11477,975,150.955512,6352,3,-33.868529,1625,350,1.4
Lake Innes,12251,1847,152.823635,150,3,-31.481465,1733,395,2.4
Spring Ridge,13619,1330,150.683758,136,2.2,-31.498483,649,60,2.1
Mount Fairy,12758,1875,149.59895,93,2.4,-35.166753,2167,250,2.5
Royalla,13434,3069,149.16269,312,3.4,-35.512227,2817,527,2.8
Pretty Beach (Central Coast - NSW),13261,1569,151.3479,226,2.4,-33.5268,1733,430,1.9
Dapto,11202,1238,150.793006,4323,2.6,-34.494001,1733,340,1.8
Bringelly,10575,1700,150.725207,784,3.4,-33.945707,2167,400,2.9
The Entrance North,13819,1135,151.511249,924,2.3,-33.326254,1950,330,1.6
Heckenberg,11887,968,150.889921,989,3.3,-33.911083,1756,271,1.7
Kearsley,12080,1260,151.395667,312,2.9,-32.858649,1517,280,2.1
South Arm (Nambucca - NSW),13575,764,152.7482,148,2.4,-30.6965,887,150,1.9
South Arm (Clarence Valley - NSW),13574,937,152.2872,89,2.7,-25.047,1213,200,2.2
Nundle,13043,695,151.127044,287,2,-31.462548,902,150,1.8
North Wahroonga,13015,2702,151.123179,706,3,-33.702704,3033,775,2.1
Murringo,12858,1138,148.509953,190,2.4,-34.272867,1300,150,2.2
Ewingsdale,11474,1592,153.557753,369,2.5,-28.637032,2000,395,2.1
Martinsville,12512,1702,151.406243,161,2.7,-33.055785,1733,323,2.5
Beechwood,10248,1093,152.678408,231,2.7,-31.436805,1517,270,2
Darlington (Sydney - NSW),11214,1111,151.1933,1412,2.2,-33.8909,2800,500,0.6
Glendenning,11659,1906,150.855174,1519,3.5,-33.739075,2000,400,2
Candelo,10788,1029,149.695188,332,2.2,-36.767311,1200,220,1.8
Cardiff Heights,10810,1468,151.672253,577,2.4,-32.936219,1777,360,1.8
Kyeemagh,12226,1395,151.159943,354,2.8,-33.951452,2754,530,1.8
Glenridding,11676,945,151.157167,111,2.4,-32.581778,1798,185,1.8
Sydney Olympic Park,13716,1768,151.0665,844,2.2,-33.8394,2149,538,1.1
Cudal,11140,1280,148.738898,237,2.5,-33.286704,1300,180,2.1
Gerroa,11607,1448,150.815611,513,2.4,-34.770171,2167,410,1.8
Millfield,12620,1288,151.264273,386,2.7,-32.888506,1430,270,2
Larnook,12279,747,153.11767,191,2.3,-28.645794,867,200,1.6
Pallamallawa,13131,1174,150.136975,210,2.4,-29.475108,1300,150,2
Wildes Meadow,14292,1946,150.530044,156,2.4,-34.618189,2194,300,2.1
Toothdale,13914,1325,149.764434,74,2.6,-36.7906,1603,228,2.3
Binjura,10370,1786,149.10666,132,2.6,-36.180676,1560,275,2.2
Ramornie,13308,767,152.782792,82,2.4,-29.640683,1378,295,1.8
Murrays Run,12855,1181,151.1751,98,2.1,-33.0742,1400,250,1.9
Pampoolah,13142,1140,152.512723,164,2.4,-31.931374,1300,255,2.3
Campsie,10782,1239,151.103465,8918,2.9,-33.914373,1742,395,1.3
Crackenback,11103,1791,148.511421,138,2.5,-36.441153,3800,175,2.4
Ingleburn,11978,1401,150.866344,5554,2.9,-33.998718,1800,360,1.6
Castlecrag,10849,3799,151.212643,1047,3.1,-33.802403,3991,950,2
Blaxlands Ridge,10409,2134,150.712367,149,3.3,-33.502253,2383,500,3.1
Mount Victoria,12797,1065,150.251161,600,2.2,-33.588561,1500,300,1.5
Howlong,11950,1024,146.60586,1275,2.3,-35.958568,1300,235,1.8
Stuart Town,13680,1020,149.077263,109,2.5,-32.805688,1125,38,2.2
Oatley,13064,2142,151.082765,3971,2.8,-33.981428,2500,460,1.8
Goolgowi,11705,1197,145.708082,199,2.4,-33.983547,836,150,2
Yarrawonga (NSW),14486,942,149.65883,190,2.4,-32.356621,1474,290,2.2
Double Bay,11281,2478,151.243095,2516,2.1,-33.87906,3000,680,1.2
Batehaven,10228,901,150.199539,1186,2,-35.73211,1509,265,1.5
Upper Crystal Creek,14021,850,153.303819,94,2.4,-28.282291,1454,295,2.1
Empire Bay,11415,1449,151.362188,923,2.8,-33.494186,1993,350,2
Gregory Hills,11774,2343,150.7761,1584,3.1,-34.0272,2600,530,2.1
Aberdare,10006,998,151.376514,1067,2.5,-32.8442,1300,270,1.7
Safety Beach (NSW),13462,1550,153.192452,395,2.6,-30.096684,1800,380,1.9
White Cliffs,14274,612,143.083844,111,2.2,-30.850444,460,0,2
Rollands Plains,13392,928,152.624248,61,2.2,-31.23771,1083,350,2.3
Tomingley,13896,1158,148.217991,138,2.5,-32.556854,1200,116,2.3
Middle Pocket,12606,1145,153.48262,66,2.5,-28.493352,1733,408,2.2
Pitt Town Bottoms,13227,1624,150.841424,48,3.3,-33.596291,2000,300,3.2
Pagewood,13125,1870,151.228411,1381,2.9,-33.940108,2795,420,1.7
Blayney,10410,1089,143.8209,1462,2.4,-38.6849,1408,230,1.8
Bligh Park,10411,1763,150.79458,2308,2.9,-33.63765,1950,390,2
South West Rocks,13600,853,153.040452,2765,2.1,-30.884423,1500,275,1.6
Tumbi Umbi,13962,1417,151.447302,1973,2.8,-33.362679,1950,360,2
Tamarama,13741,3348,151.271839,758,2.4,-33.897439,3640,710,1.4
Gymea Bay,11827,2523,151.086087,2287,3.1,-34.048156,2800,600,2.1
Kanwal,12067,1097,151.479653,1533,2.5,-33.263412,1584,320,1.7
Orangeville,13094,2381,150.573125,394,3.4,-34.04279,2600,275,2.8
Baradine,10190,771,149.065815,394,2.2,-30.943207,758,140,1.8
Woodberry,14377,1032,151.665395,1187,2.6,-32.793692,1300,250,1.7
Bar Beach,10187,1719,151.768383,649,2.1,-32.939962,2435,300,1.5
Tomago,13889,784,151.757485,175,1.7,-32.818383,1517,221,1.4
Eurunderee,11467,1774,149.608821,68,2.4,-32.52605,2600,216,2.3
Darlington (Singleton - NSW),11213,1437,151.1601,169,2.4,-32.5594,1690,270,1.8
Minnamurra,12639,1508,150.855113,360,2.5,-34.627871,2383,390,1.8
Raleigh,13307,1416,152.994874,249,2.7,-30.480738,1394,280,2.2
Tacoma South,13725,1687,151.457044,101,2.6,-33.289592,1733,425,2.5
Falls Creek (NSW),11487,1478,150.596929,369,2.8,-34.968232,1975,300,2.4
Mount Druitt,12756,1268,150.811583,5497,3.2,-33.772053,1733,350,1.5
Menangle Park,12569,1462,150.757016,91,3,-34.100121,1500,400,2.3
Georges Plains,11602,1625,149.523182,90,3,-33.515629,1404,220,2.6
Rose Bay (NSW),13398,2272,151.280456,4594,2.4,-33.866555,3000,600,1.5
Agnes Banks,10021,1910,150.707372,291,3.3,-33.618877,2000,380,2.5
Lismore (NSW),12344,838,153.269477,1717,2.2,-28.809302,1300,240,1.4
Kiama Heights,12118,1581,150.843492,385,2.5,-34.697929,1929,420,2
Cumbalum,11154,1800,153.525966,509,3.1,-28.825835,2000,498,2.2
Wyndham (NSW),14443,783,149.6338,195,2.1,-36.9222,867,135,2
Huntleys Point,11961,3250,151.145968,57,2.7,-33.840088,3809,570,2.3
Willmot,14302,886,150.791569,868,3,-33.727621,1465,280,1.5
Little Hartley,12352,1388,150.208607,238,2.4,-33.571701,1950,300,2.3
Grong Grong,11784,1218,146.781265,128,2.2,-34.73818,1042,40,2.2
Broke (NSW),10590,1662,151.103474,273,2.7,-32.751222,1734,350,2.2
