city,code,Median weekly household income,lon,All private dwellings,Average people per household,lat,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
South Bathurst,13577,1099,149.578565,742,2.2,-33.440113,1387,280,1.6
Nana Glen,12889,1231,153.004853,420,2.7,-30.136199,1456,290,2.1
Frazers Creek,11560,1292,152.647378,72,2.7,-31.413193,1800,50,2.6
Willoughby (NSW),14303,2548,151.1986,2491,2.8,-33.801483,3000,575,1.5
Emerald Beach,11411,1410,153.182459,925,2.7,-30.166597,1712,360,2
Greenhill (NSW),11763,879,152.800013,248,2.8,-31.060154,1300,210,1.7
Terania Creek,13794,816,153.29947,95,2.4,-28.609209,1320,235,1.7
Eungella (NSW),11460,1024,153.311519,127,2.7,-28.353761,1660,200,2
Lewis Ponds,12312,1781,149.2407,67,3.1,-33.2122,1647,0,2.8
Emu Plains,11418,1685,150.653269,3174,2.7,-33.754097,2167,400,1.9
South Lismore,13589,912,153.269477,778,2.4,-28.809302,1228,250,1.6
Missabotti,12649,866,152.805912,131,2.4,-30.567278,1083,160,1.8
Taren Point,13766,1391,151.125456,729,2.3,-34.012545,2817,545,1.7
Point Clare,13231,1315,151.320952,1566,2.5,-33.436772,1891,360,1.7
South Murwillumbah,13593,1042,153.400759,469,2.4,-28.32897,1387,320,1.8
St Peters (NSW),13644,2318,151.180126,1490,2.4,-33.911062,2600,600,1.2
Spring Hill (Cabonne - NSW),13615,1649,145.2023,184,2.8,-38.3564,1591,270,2.3
Dunedoo,11316,871,149.395838,649,2.2,-32.016184,967,175,2
Tarago,13758,1645,149.628735,184,2.6,-35.084503,1578,220,2.1
Eatonsville,11370,794,152.831293,87,2.5,-29.640182,1300,250,2
Mount Austin,12748,914,147.358403,1772,2.3,-35.133028,1192,225,1.5
Berry,10322,1252,148.494076,1243,2.3,-33.187179,1875,370,1.8
Rosebank,13401,1023,153.392176,210,2.3,-28.663494,1717,275,1.9
Cattai,10859,2013,150.909515,263,3.1,-33.555841,2383,470,2.8
Bugaldie,10646,664,149.110038,80,2,-31.122204,1300,0,2
Sapphire Beach,13491,1544,153.147953,969,2.5,-30.233163,1863,410,1.8
Mirador,12644,1437,149.9199,158,2.6,-36.8768,1907,405,2.1
North Wollongong,13017,1294,150.895575,1134,2.1,-34.41436,1700,350,1.4
Terramungamine,13801,1767,148.573778,103,2.9,-32.153936,2000,185,2.7
Merimbula,12575,945,149.910553,2274,2,-36.887762,1400,250,1.5
Singleton Heights,13550,1597,151.162145,1911,2.6,-32.546727,1750,280,1.8
Robin Hill,13375,2262,149.550475,337,2.9,-33.41473,2167,230,2.4
Curlwaa,11170,1125,141.965558,206,2.3,-34.09281,1029,155,2
McKellars Park,12544,1125,150.154148,100,2.4,-33.47156,1610,200,1.9
Airds,10022,677,150.829041,1093,2.8,-34.084468,1200,178,1.1
Green Point (Central Coast - NSW),11753,1324,151.3829,2645,2.5,-33.4532,1950,370,1.8
Springvale (Wagga Wagga - NSW),13628,2610,147.3181,509,3.4,-35.1708,2167,260,2.6
Bective,10245,1583,150.772119,83,2.6,-30.988172,1733,270,2.7
Limbri,12327,966,151.154777,58,1.9,-31.039192,900,0,2
Lapstone,12276,2115,150.636657,351,2.6,-33.774112,2167,420,1.9
West Albury,14239,1138,146.890443,1720,2.2,-36.073344,1326,230,1.6
Mortlake (NSW),12729,2228,151.10698,483,2.4,-33.843435,2600,630,1.7
South Guyra,13586,1057,151.67116,154,2.6,-30.235762,1127,240,1.8
Werrington,14235,1228,150.733755,1734,2.5,-33.740586,1647,330,1.4
Davidson,11219,2630,151.194197,945,3.1,-33.738731,3000,878,2.3
Boomi,10489,1375,152.603955,130,2,-28.470421,858,0,2.2
Harris Park,11860,1509,151.008961,2175,2.8,-33.822427,1733,390,1
Maianbar,12443,2055,151.129788,262,2.6,-34.081826,2500,455,2
Nabiac,12885,972,152.377769,507,2.6,-32.098694,1300,288,2
North Albury,12977,959,146.931552,2977,2.2,-36.062952,1175,205,1.5
Lismore Heights,12345,1134,153.301267,1027,2.2,-28.80624,1350,280,1.6
Michelago,12598,2250,150.865056,213,2.9,-33.94239,2500,370,2.3
Voyager Point,14079,2820,150.97238,504,3.3,-33.964547,2500,300,2.3
North Willoughby,13016,2202,151.195787,1640,2.8,-33.793089,3000,570,1.5
Seven Hills (NSW),13518,1551,150.934257,6953,2.9,-33.775477,2058,380,1.7
Turners Flat,13976,1208,152.7,64,2.5,-31.017039,1517,0,2.2
Cullen Bullen,11148,778,150.032518,111,2.3,-33.303402,1300,195,2.3
Hyland Park,11968,1071,152.999909,210,2.3,-30.615511,1473,300,1.7
Croudace Bay,11128,1448,151.643488,211,3,-33.00492,2234,420,1.8
Temora,13784,982,147.533742,2193,2.3,-34.446858,1200,183,1.7
Dolans Bay,11266,2815,151.126746,215,3.1,-34.05968,3250,600,2.4
Binalong,10362,1104,148.628209,275,2.3,-34.670932,1257,198,2
Numbugga,13038,900,149.711811,60,2.5,-36.652366,1200,0,2
Henley,11891,3035,151.135943,172,3,-33.842216,2700,545,2.3
Brombin,10593,1625,152.626737,53,2.6,-31.453817,1943,225,2.7
Vacy,14063,1760,151.57715,252,2.8,-32.543458,1950,210,2.5
Billywillinga,10357,1359,149.43985,80,2.9,-33.273015,1625,250,2.2
Rock Forest,13377,1792,149.396538,83,2.5,-33.354231,1733,243,2.3
Dora Creek,11277,1154,151.501807,799,2.3,-33.083587,1733,313,2
Oakdale (NSW),13054,1672,150.513639,670,3,-34.078174,1960,330,2.6
Marchmont,12487,2555,148.954609,82,2.9,-34.876217,2782,190,2.4
Mondrook,12676,1125,152.414571,68,2.7,-31.906971,2025,160,2
Menah,12566,1718,149.542687,60,2.8,-32.548716,2059,0,2.3
Menai,12567,2238,151.063767,3499,3.1,-33.998425,2220,520,2.1
Morts Estate,12732,931,150.168076,286,2.2,-33.468424,1203,240,1.7
Monaltrie,12674,1303,153.278455,85,2.4,-28.851075,1325,300,2.2
Surry Hills,13699,2144,151.213328,9219,1.9,-33.888821,2500,550,0.6
Brucedale,10613,2200,147.413057,64,2.9,-35.001237,1717,0,2.6
Roseville,13412,2832,151.195195,3581,3,-33.778902,3000,630,1.7
Tullimbar,13958,1875,150.739102,193,2.9,-34.577122,2167,450,2.1
Eagle Vale,11341,1612,150.814153,1891,3.1,-34.037882,1733,370,2
Cudmirrah,11145,915,150.557818,235,2.2,-35.19804,1200,240,1.6
Bemboka,10284,870,149.572964,326,2.1,-36.629917,1192,170,1.9
Marmong Point,12498,1575,151.618115,312,2.6,-32.983019,1800,378,1.9
Woomargama,14413,939,147.247561,89,2.2,-35.832854,1000,100,1.7
Mount Arthur,12747,1271,148.935597,64,2.5,-32.554619,1517,265,2.4
Boomerang Beach,10487,1114,152.541677,395,2.3,-32.339201,1378,300,1.4
Baan Baa,10120,1218,149.966153,85,1.9,-30.60138,1517,215,2.5
Leconfield,12291,1775,151.392441,60,2.7,-32.651348,2167,254,2.5
North Arm Cove,12979,1097,152.037583,341,2.1,-32.65912,1600,300,1.8
Myall Park (NSW),12873,1937,146.108252,69,2.8,-34.177539,1885,120,2.6
Glendale (NSW),11658,1204,151.650189,1312,2.5,-32.926823,1613,300,1.7
Mount Olive (Singleton - NSW),12781,1812,151.2251,57,2.2,-32.4078,2434,0,2.5
Hastings Point,11868,723,153.576246,471,1.8,-28.361966,1042,277,1.2
East Kurrajong,11356,2187,150.764601,687,3.3,-33.514481,2500,350,2.9
Euroka,11464,1512,152.796699,126,2.6,-31.079521,1738,280,2.2
Bingie,10367,979,150.153153,111,2.2,-36.01113,1582,195,2.1
East Kempsey,11354,930,152.845507,618,2.4,-31.082158,1213,260,1.6
Congarinni,11005,1140,152.879726,124,2.8,-30.684156,1473,200,2.2
Rushes Creek,13445,1031,150.602886,55,2,-30.803044,2290,200,2.2
Brierfield,10568,1323,152.893178,131,2.5,-30.503895,1300,270,2
Wantabadgery,14136,1268,147.752829,81,2.4,-35.042064,1100,0,2.2
Mount Frome,12760,1437,149.644578,47,2.7,-32.605845,2483,218,2.6
Oakhurst (NSW),13058,1880,150.834819,2062,3.5,-33.744048,1950,400,2.1
Killingworth (NSW),12137,1757,151.560841,225,3.1,-32.934544,1733,385,2.6
Bellevue Hill,10271,2892,151.258935,4642,2.5,-33.887189,3000,625,1.6
Charlotte Bay,10887,1192,152.505783,135,2.5,-32.355227,1500,305,2.1
North Tumbulgum,13012,1422,153.470406,109,2.6,-28.26807,2000,220,2.3
Newington (NSW),12953,2306,151.054828,2078,3,-33.839276,2500,550,1.7
Collingullie,10976,1350,147.11146,91,2.8,-35.071845,1495,200,2.6
Valery,14066,1135,152.944546,62,2.5,-30.386986,1348,280,2.1
Mount View,12798,2150,151.270297,73,2.2,-32.852431,1867,0,2.4
Frogmore,11571,939,148.85376,104,2.1,-34.233648,1800,25,2.2
Yarramundi,14477,2228,150.672695,243,3.5,-33.627259,2167,550,2.9
Elong Elong,11406,771,149.026202,58,2,-32.116012,368,205,1.8
Avoca Beach,10114,1896,151.432387,2248,2.8,-33.464937,2167,440,2
Burwood (NSW),10718,1398,151.103682,6041,2.8,-33.877423,2167,520,1.1
Canoelands,10794,1937,151.061148,67,2.7,-33.508714,2145,278,2.6
Korora,12197,1436,153.129008,1065,2.6,-30.257145,1800,375,1.9
Kogarah Bay,12182,2051,151.123296,706,3.1,-33.979117,2500,563,2.1
Maryland (Newcastle - NSW),12514,1501,151.662,2818,2.8,-32.8814,1733,360,2
Morton,12730,1221,150.304367,103,2.7,-35.419406,1733,193,2.1
Wetherill Park,14264,1525,150.913204,1949,3.3,-33.847512,1950,450,2
Stratheden,13674,1187,152.954303,86,2.4,-28.80272,1300,185,2.3
Pyrmont,13284,2280,151.19393,6462,2.2,-33.869709,2597,652,0.9
Wyoming,14445,1194,151.350776,4157,2.5,-33.40485,1733,350,1.6
Round Mountain,13425,1468,153.549795,50,3.2,-28.36206,1700,350,2.6
Berala,10299,1319,151.031033,2963,3.2,-33.871904,1733,380,1.6
Coomba Bay,11037,780,152.443552,88,1.9,-32.263911,1100,0,2
Ashmont,10101,876,147.329956,1705,2.4,-35.12318,1235,200,1.4
Dum Dum,11304,1104,153.334075,53,2.3,-28.387826,1517,295,2.1
Bullaburra,10656,1389,150.41364,553,2.4,-33.722751,1760,350,1.7
Chifley (NSW),10901,1816,151.240248,1226,2.9,-33.976546,2600,237,1.8
Coorabell,11051,1256,153.481025,220,2.4,-28.634356,3000,250,2
Lansdowne (Mid-Coast - NSW),12273,789,152.5205,253,2.6,-31.7586,1083,200,1.8
Burrill Lake,10712,864,150.449603,875,2.2,-35.387189,1400,270,1.7
Canterbury (NSW),10797,1503,151.121145,3001,2.6,-33.910848,2167,450,1.4
Bredbo,10559,1681,149.150191,132,2.7,-35.959129,1733,250,1.9
Sofala,13569,575,149.689626,110,1.6,-33.080698,759,115,1.4
Manar,12462,2249,143.936712,46,2.8,-32.471391,2028,350,1.9
Ropes Crossing,13397,2028,150.810841,1966,3.2,-33.77448,2383,480,1.8
Mangoplah,12470,1321,147.253056,109,3.2,-35.375169,1225,195,2.4
Elland,11399,1300,152.928726,139,2.4,-29.756181,1509,305,2.4
Young,14518,966,148.297921,4549,2.4,-34.31341,1300,225,1.8
Richmond (NSW),13360,1146,150.721891,2387,2.1,-33.582355,1733,340,1.5
Harrington,11858,784,150.742232,1779,2,-34.023239,1430,280,1.6
Balmain,10164,2550,151.190598,5009,2.3,-33.857833,3000,600,1.2
Kitchener,12174,1156,151.36667,167,2.8,-32.879602,1517,290,2.2
Sans Souci,13489,1536,151.133074,4523,2.5,-33.990614,2393,460,1.7
Cabarita Beach,10737,1083,153.569695,72,2.2,-28.332149,1733,363,1.5
Phegans Bay,13192,1680,151.308453,194,2.4,-33.48859,2000,370,1.9
Old Guildford,13077,1286,150.988073,725,3.9,-33.867084,2000,390,2.1
Guildford West,11791,1388,150.972299,1631,3.2,-33.851099,2010,410,1.9
Martindale,12510,1224,150.67,72,2.4,-32.454407,1593,220,2.2
Trundle,13940,911,147.709904,370,2.2,-32.922887,726,118,1.9
Leichhardt (NSW),12297,2256,151.157057,6268,2.5,-33.883793,3000,560,1.3
Kembla Grange,12092,1895,150.808912,85,3.2,-34.47078,2300,346,2.5
Yennora,14506,749,150.969356,519,3,-33.860889,1950,175,1.3
Lurnea,12422,1068,150.896105,3074,3.1,-33.931947,1842,350,1.7
Burringbar,10713,1165,153.432836,353,2.5,-28.44671,1517,290,2
Spring Terrace,13620,1604,149.069863,53,2.6,-33.402381,1517,298,2.6
Katoomba,12077,976,150.311589,4561,2.1,-33.714043,1517,300,1.3
North Boambee Valley,12983,1238,153.071517,749,2.4,-30.306482,1820,380,1.7
Collaroy Plateau,10971,2523,151.286514,1506,3.3,-33.728047,3000,750,2.1
Gordon (NSW),11718,2313,151.761866,2838,2.9,-32.045612,2800,650,1.7
Clybucca,10940,1125,152.965545,66,2.5,-30.954389,1517,225,1.8
Yarranbella,14478,756,152.778618,80,2.6,-30.727507,1200,145,2
Lue,12420,825,149.842171,98,2.6,-32.65414,1322,250,1.8
Allambie Heights,10036,2229,151.248864,2459,3,-33.765076,2902,478,1.9
Peakhurst Heights,13169,1727,151.057596,878,2.8,-33.968127,2392,250,2
Lake Tabourie,12254,852,150.398471,403,2.3,-35.44375,1083,268,1.7
Ulong,14005,758,146.841971,102,2.4,-35.26049,861,240,1.6
Brocklehurst,10583,1196,148.688877,135,2.6,-32.150735,1376,230,2.1
Brewongle,10564,1281,149.67541,59,2.3,-33.48878,1200,215,2.2
Merewether,12573,1830,151.736231,4982,2.4,-32.948242,2167,360,1.7
Mathoura,12522,840,144.9026,501,2.1,-35.81262,932,130,1.8
Ultimo,14006,1230,151.197272,3653,2.4,-33.878416,2000,554,0.5
Cookamidgera,11016,824,148.324968,70,2.3,-33.2249,867,149,2.1
Wallarah,14109,1562,151.456522,118,3.3,-33.241851,2029,510,2.4
Bowral,10536,1299,150.449304,4867,2.3,-34.501493,1950,400,1.7
West Bathurst,14241,1061,149.564797,1692,2.4,-33.412695,1354,275,1.6
Tullymorgan,13960,1281,153.09836,52,2.6,-29.38348,1300,125,2.4
Diamond Beach,11251,1187,152.534432,457,2.4,-32.043994,1400,298,1.9
St Andrews (NSW),13631,1643,150.8306,1901,3.1,-34.0245,1733,380,2
Kingsford (NSW),12156,1374,151.227811,6074,2.7,-33.924922,2500,525,1.1
Yanco,14460,1018,146.40345,302,2.3,-34.630843,1168,133,1.9
Bermagui,10307,843,150.06439,1114,2.1,-36.422732,1300,235,1.6
Gorokan,11721,989,151.510399,3843,2.3,-33.257544,1517,310,1.6
Canley Heights,10791,1260,150.923895,3333,3.5,-33.883633,1733,370,1.8
Dombarton,11270,2250,150.770419,46,2.9,-34.456405,2383,0,2.5
Port Macquarie,13246,1069,151.907551,21472,2.3,-32.589168,1733,325,1.6
Glenning Valley,11672,1888,151.425996,715,2.9,-33.353709,1884,410,2.2
Rockley,13380,833,149.552941,106,2.1,-33.547323,867,50,2.1
Condobolin,11002,1025,147.15218,1599,2.5,-33.089095,997,170,1.7
Hamlyn Terrace,11843,1553,151.469872,2028,3,-33.250574,1993,440,1.9
Cranebrook,11105,1874,150.709986,5385,3,-33.71431,2000,380,2.1
Taree,13764,808,152.463802,7398,2.3,-31.922894,1256,240,1.5
Rosehill (NSW),13408,1573,151.024558,1660,2.6,-33.819992,2000,400,1.3
Montefiores,12685,1125,148.944461,254,2.4,-32.538869,1517,250,1.8
West Ballina,14240,943,153.54417,1445,2.2,-28.86333,1512,320,1.6
Mount Pritchard,12785,1191,150.90304,3258,3.2,-33.894817,1883,346,1.8
Windeyer (NSW),14322,708,149.5453,118,1.7,-32.77632,1138,0,1.9
Manildra,12473,1264,148.696347,344,2.3,-33.186578,1213,150,2.1
Bega,10253,974,150.919441,2124,2.3,-31.16588,1357,270,1.6
The Pocket,13834,1083,153.486046,125,2.6,-28.505569,2004,310,1.9
Glen Innes,11649,833,151.446425,3001,2.2,-32.596003,1083,200,1.6
Eraring,11429,1312,151.522946,99,2.6,-33.071249,2169,138,2.3
East Branxton,11346,1710,151.363965,696,2.7,-32.655999,1800,330,2
Bogan Gate,10438,816,147.802354,134,2.5,-33.106229,815,205,2.3
Myola (NSW),12878,816,150.673253,105,1.8,-35.027104,1733,0,1.7
Cecil Park,10866,2011,150.838225,233,3.5,-33.87478,2550,370,2.9
Denistone West,11240,2128,151.066085,318,3.1,-33.802382,2500,560,1.8
Canton Beach,10798,673,151.544045,706,1.8,-33.271922,1517,280,1.1
Ulladulla,14003,813,150.474301,3394,2.2,-35.357094,1500,290,1.6
Cremorne (NSW),11112,2348,151.230233,5655,2.1,-33.828131,2600,587,1.3
Bardia,10194,2187,150.8623,506,3.3,-33.9773,2405,500,1.9
Redbournberry,13337,2208,151.18943,87,3,-32.560421,2000,330,2.4
Springdale Heights,13622,948,146.94484,938,2.4,-36.033316,1387,230,1.6
Hamilton South,11841,1028,151.747248,1894,2.3,-32.934003,2167,135,1.4
Gregadoo,11773,1791,147.422814,87,3,-35.229449,2442,240,2.4
Darkwood,11210,780,152.658005,92,2.1,-30.437487,1441,255,1.5
Limeburners Creek (Mid-Coast - NSW),12328,1279,143.9481,124,2.8,-38.2336,1430,200,2.3
Bombo,10458,1375,148.279996,53,2,-35.278606,2383,365,2.1
Carcoar,10808,833,149.140601,153,2.3,-33.609622,1257,115,2
Arncliffe,10086,1657,151.146805,3936,2.9,-33.936592,2167,500,1.4
Booragul,10495,932,151.60589,562,2.5,-32.976125,1521,250,1.6
Ballimore,10161,1281,148.902065,83,2.5,-32.195726,1278,240,2.4
Darawank,11203,1169,152.483196,158,2.6,-32.121019,2000,285,2.2
Galong,11580,814,150.246224,140,2.2,-33.704121,986,115,1.8
Clandulla,10916,900,149.950771,98,2.4,-32.906521,1300,200,2.1
North Dorrigo,12989,1093,152.671483,89,2.3,-30.281126,1300,210,2
Concord,10999,2078,151.095046,5276,2.9,-33.837702,2500,496,1.8
Copmanhurst,11060,756,152.73514,147,2.1,-29.556803,789,230,1.7
Moulamein,12743,940,144.036636,311,2.1,-35.089135,715,110,1.9
Rowena,13431,1031,148.935905,97,2.5,-29.796578,0,50,2.5
Birmingham Gardens,10377,1061,151.690829,961,2.6,-32.890844,1517,350,1.6
Toongabbie (NSW),13907,1729,150.950644,4989,3,-33.788942,2000,400,1.7
Moama,12654,1148,144.755549,2905,2.4,-36.112624,1560,270,1.8
Swan Bay (Richmond Valley - NSW),13705,1359,153.2946,80,2.9,-29.0755,1517,250,2.1
Akolele,10023,687,150.07685,87,2.6,-36.355798,1475,165,1.7
Mosman,12738,2522,151.24409,13226,2.4,-33.829077,3000,560,1.5
Pelaw Main,13177,989,151.480398,451,2.4,-32.833664,1300,260,1.7
Eglinton (NSW),11386,1565,149.558662,829,2.9,-33.374597,1733,345,2.1
Minmi,12638,1734,151.617789,247,3.1,-32.877152,1733,355,2.3
Mangerton,12468,1671,150.871873,1206,2.5,-34.431722,2167,285,1.7
Kingscliff,12154,1230,153.575638,3670,2.4,-28.254719,2000,360,1.7
Nowendoc,13026,939,151.719541,95,2.1,-31.515203,1267,0,2.2
North Turramurra,13013,1933,151.147146,1627,2.5,-33.713419,3000,680,1.7
Balldale,10159,1093,146.518358,87,2.2,-35.845724,997,0,2.3
Ebenezer (NSW),11371,1886,150.881372,339,3.3,-33.52466,2205,325,2.6
Punchbowl (Canterbury-Bankstown - NSW),13273,1146,151.0516,6448,3.4,-33.9291,1985,365,1.7
Canowindra,10796,920,148.66491,1083,2.3,-33.562223,1083,180,1.9
Brushgrove,10622,918,153.080634,101,2,-29.566127,1500,225,1.9
Glen Martin,11650,1458,151.825623,64,2.7,-32.53878,1733,220,2.4
Yerrinbool,14510,1507,150.538132,429,2.9,-34.375908,1800,370,2.2
Glenmore Park,11670,2213,150.6693,7501,3.2,-33.790683,2167,450,2.2
Thora,13849,924,152.772526,156,2.7,-30.414372,1387,213,1.9
Binna Burra (NSW),10371,1312,153.490299,84,2.7,-28.709653,2167,315,2.1
Ingleside,11979,2170,151.262322,327,3.1,-33.683176,3017,451,2.8
Nelson Bay (NSW),12923,1141,152.154863,4179,2.3,-32.717075,1733,320,1.7
Bendemeer,10289,905,151.159905,230,2.2,-30.878399,1000,150,2
Carrathool,10827,1261,145.430787,114,2.4,-34.407182,195,0,2.4
Brewarrina,10563,923,146.858999,474,2.6,-29.961519,437,90,1.2
St Johns Park,13641,1505,150.905403,1785,3.4,-33.885824,1950,418,2.1
Blandford,10406,1166,150.928753,103,2,-31.793098,1300,80,1.9
Guyong,11821,1843,149.248914,54,2.3,-33.414685,1767,0,2
Mayfield West,12536,1310,151.7255,872,2.3,-32.890539,1680,300,1.5
Lockhart,12369,960,146.716343,538,2.2,-35.221085,867,150,1.7
Dawes Point,11222,3806,151.20822,202,2,-33.855601,5200,1500,1.4
Hamilton (NSW),11838,1360,151.746874,2087,2.2,-32.924042,1950,350,1.4
Chisholm (NSW),10909,2295,145.7164,518,3.1,-38.176,2332,463,2.2
Yelgun,14499,900,153.512834,45,1.9,-28.476032,1200,210,2.1
Noraville,12974,1194,151.559914,1281,2.5,-33.265942,1733,330,1.8
Dairymans Plains,11188,1833,149.034048,71,2.6,-36.204435,1902,80,2.3
Willawarrin,14295,949,152.627874,87,2.3,-30.929995,1040,200,2.1
New Brighton,12939,1160,153.549644,217,2.1,-28.509358,1777,450,1.7
Coramba,11065,1255,153.016086,321,2.6,-30.222515,1614,350,2.1
North Nowra,13000,1159,150.591467,2421,2.5,-34.860731,1600,300,1.8
Tolland,13887,941,147.349979,1534,2.4,-35.147915,1319,199,1.5
Jaspers Brush,12002,1531,150.657592,167,2.4,-34.803323,2062,250,2.2
Duns Creek,11326,1775,151.78275,180,3,-32.580313,2167,350,2.6
Berowra Heights,10310,2138,151.136829,1824,3,-33.610968,2383,550,2
North Bourke,12985,1312,146.1312,210,2.5,-29.7541,1350,99,1.9
Beresfield,10301,1032,151.657881,1441,2.4,-32.801094,1400,300,1.7
Glen Oak,11652,1694,151.70917,116,2.9,-32.613853,2000,110,2.9
Hay South,11875,1226,144.842938,221,2.3,-34.512685,1000,139,2.1
Chatswood West,10893,2533,151.167142,547,3,-33.796332,3000,700,1.9
Batemans Bay,10229,703,150.183191,1095,1.8,-35.700315,1300,230,1.2
Big Springs,10345,1187,147.43227,53,2.5,-35.326669,1500,188,2.7
Rozelle,13435,2873,151.170573,4144,2.3,-33.863063,3000,655,1.3
Cawdor (NSW),10863,2109,150.671985,146,3,-34.108691,2600,260,2.7
Moorland (NSW),12714,922,152.652348,228,2.3,-31.772228,1157,200,2
Stockton (NSW),13662,1286,151.78438,1809,2.3,-32.91612,1950,300,1.6
Camden South,10773,1812,150.695074,1689,2.8,-34.08748,2167,430,2.1
Warialda Rail,14150,624,150.536881,59,2.1,-29.583725,1874,130,2.2
Largs,12278,1727,151.602415,702,2.9,-32.702528,2000,350,2.1
Numeralla,13039,1140,149.340668,136,2.6,-36.177223,1372,250,2.2
Balgownie,10155,1558,150.877689,2218,2.6,-34.38859,2167,375,1.9
New Berrima,12938,1164,150.332394,244,2.4,-34.504395,1560,320,1.8
Hartley (NSW),11861,1647,150.208607,177,2.6,-33.571701,1950,150,2.2
Fountaindale,11554,2293,151.392826,225,3.3,-33.338303,2163,300,2.6
Telarah,13780,1017,151.536856,1057,2.3,-32.729499,1371,263,1.5
Woodbine (NSW),14378,1570,150.818872,920,3.1,-34.049892,1760,380,2
Yippin Creek,14515,1271,152.712615,76,2.4,-31.446918,1753,300,2
St Helens Park,13637,1651,150.798121,2186,3.1,-34.112264,1800,380,2
Tallwoods Village,13737,1256,152.507801,354,2.4,-32.056396,1800,380,1.8
Merrygoen,12587,1281,149.230644,61,2.4,-31.824229,225,50,2.5
Chilcotts Grass,10903,1666,153.335738,84,2.8,-28.836153,1300,370,2.3
Barkers Vale,10201,575,153.123465,91,2.2,-28.538014,680,138,1.6
Asquith,10103,2029,151.108685,1283,3,-33.687484,2400,528,1.7
Narellan Vale,12897,1969,150.74408,2314,3.2,-34.055271,2057,450,2.2
Collector,10972,1786,149.424332,124,2.8,-34.91729,2118,285,2.2
Iluka (NSW),11975,723,153.350886,1275,1.9,-29.407475,1203,240,1.5
Terrigal,13805,1679,151.444461,5232,2.6,-33.448011,2167,450,1.9
Queenscliff (NSW),13296,2348,151.287817,1695,2.2,-33.784595,2687,600,1.5
Central Tilba,10877,909,150.084817,157,2,-36.311773,1420,200,2
Newport (NSW),12956,2066,151.309312,3890,2.7,-33.659896,2700,530,2
Narrawallee,12909,947,150.471766,910,2.3,-35.308851,1300,300,1.7
Numinbah,13040,949,153.253377,62,2.2,-28.276838,1180,170,1.7
Yarra,14468,1624,150.14975,73,2.4,-31.669437,2034,165,2.6
Quambone,13287,725,147.869963,115,2.2,-30.929382,384,5,1.8
Possum Brush,13251,1031,152.454174,68,2.3,-32.042942,2350,260,1.7
Bonny Hills,10470,1264,152.840605,1353,2.5,-31.594981,1733,375,1.9
Mount Pleasant (NSW),12784,2258,150.863798,505,2.8,-34.39666,2349,530,2
Liberty Grove,12315,2207,151.083609,801,2.9,-33.841665,2075,600,1.4
Broken Hill,10592,968,141.458131,9654,2.2,-31.977238,953,189,1.5
Rosewood (Snowy Valleys - NSW),13415,956,147.8596,102,2.7,-35.6502,1235,150,2.2
Waverton,14202,2392,151.195808,1592,2.1,-33.839969,2500,600,1.2
Angourie,10059,1347,153.359964,146,2,-29.481012,1300,320,1.7
Hardys Bay,11852,1271,151.35744,179,2.2,-33.525157,1800,350,1.7
Blackwall (NSW),10399,1188,151.327632,895,2.3,-33.503434,1759,350,1.6
Canley Vale,10792,1053,150.943275,3301,3.2,-33.887291,1517,320,1.6
Gundary,11806,1455,149.787114,109,3.2,-34.815321,2392,275,2.6
Stanwell Tops,13654,2360,150.976159,173,3,-34.22077,2500,400,2.3
Murrumbateman,12860,2822,149.03035,1111,3.1,-34.969552,2383,351,2.5
Helensburgh,11890,2111,150.981985,2194,3,-34.190675,2300,475,2.1
Jamberoo,11998,1703,150.776595,684,2.6,-34.648419,1993,312,2.4
South Turramurra,13598,2564,151.113441,1039,3.1,-33.746027,3000,725,2
Eleebana,11393,1969,151.635401,2160,2.8,-32.993626,2000,420,2.1
Brandy Hill,10548,2028,151.694171,234,2.9,-32.693797,2090,150,2.6
Shellharbour,13533,1395,150.836628,1508,2.6,-34.564922,1733,350,1.9
Bradbury (NSW),10543,1373,150.814016,3287,2.8,-34.086006,1733,360,1.7
Forestville (NSW),11548,2151,151.21406,3022,2.9,-33.762011,2817,600,1.8
North Balgowlah,12981,3119,151.251721,1193,3.3,-33.787074,3203,723,1.8
Balcolyn,10145,1153,151.553169,459,2.5,-33.095642,1750,368,1.8
Kearns,12079,2039,150.803211,880,3.2,-34.021321,2000,400,2.2
Curl Curl,11167,2693,151.295691,866,3,-33.761652,3100,620,2
Manilla,12474,837,150.632502,1184,2.3,-30.565763,1083,225,1.7
Lake Haven,12247,866,151.501928,1664,2.3,-33.240092,1426,303,1.6
Woombah,14414,816,153.282736,432,2.1,-29.360487,1275,250,1.8
Wooyung,14418,556,153.542861,78,1.7,-28.455809,1630,383,1.7
Mannering Park,12477,1187,151.537603,1082,2.6,-33.150538,1465,340,1.9
Brocklesby,10584,1050,146.680117,86,2.5,-35.822589,697,100,2.1
Modanville,12655,1259,153.294687,236,2.7,-28.720422,1584,305,2.1
Dundas Valley,11313,1551,151.061185,2049,2.8,-33.78724,2200,350,1.7
Tuggerah,13950,1276,151.415901,402,2.5,-33.30701,1700,360,1.6
Birchgrove,10374,3225,151.180609,1520,2.4,-33.853386,3000,650,1.4
Longueville,12385,4050,151.165342,716,3.2,-33.833096,4333,983,2.2
