city,code,people
Cabbage Tree Island (Mid-Coast - NSW),10739,8
Thumb Creek,13855,23
Fosterton,11553,108
Pucawan,13267,37
Gemalla,11598,16
Deep Creek (Kempsey - NSW),11229,88
Dollys Flat,11268,74
Balickera,10156,27
Woodlands (Eurobodalla - NSW),14387,73
Alfredtown,10032,109
Billeroy,10352,43
Cabbage Tree Island (Ballina - NSW),10738,78
Mount Dee,12755,6
Mount Irvine,12767,28
Long Plain (Inverell - NSW),12379,34
Bolivia,10447,66
Waverly,14201,50
Middle Brother,12601,47
Mount Royal,12789,24
Barragga Bay,10210,94
Old Bonalbo,13074,77
Paling Yards (Bathurst Regional - NSW),13128,17
Rocky Creek (Inverell - NSW),13384,11
Countegany,11089,34
Cullivel,11152,15
Nelson (Bega Valley - NSW),12921,8
Fern Gully,11502,64
Speewa,13606,98
Yessabah,14512,107
Tallowwood Ridge,13735,45
Koolkhan,12186,39
Tabbimoble,13720,31
Little Plain,12356,143
Pinnacle Swamp,13221,32
Mila,12611,45
Craven Plateau,11108,4
Ben Bullen,10285,100
Clear Range,10926,36
Ringwood (NSW),13365,37
Georges Creek (NSW),11600,18
Horseshoe Creek,11940,85
Canadian Lead,10786,11
The Freshwater,13820,7
Upper Pappinbarra,14042,59
Mangrove Creek,12471,40
Nyrang Creek,13051,25
Jacksons Flat,11994,9
Bruie Plains,10614,49
Boambolo,10423,53
Mallowa,12459,108
Dilpurra,11257,22
Brundee,10617,47
Cundle Flat,11160,17
Braemar Bay,10546,21
Limeburners Creek (Port Macquarie-Hastings - NSW),12329,13
Silverton (NSW),13545,50
Mount Rivers,12787,43
Tenterden (NSW),13791,29
Waldegrave,14095,27
Singletons Mill,13552,7
Canbelego,10787,39
Eccleston,11373,35
Aarons Pass,10001,22
Bohnock,10445,71
Argoon (NSW),10080,13
Four Mile Creek (NSW),11556,12
Spring Plains,13618,75
Newstead (NSW),12958,23
Urangeline,14053,14
Locksley (NSW),12370,50
Tonderburine,13899,59
Rixs Creek,13372,24
Glen Fergus,11648,6
Davis Creek,11220,17
Milbrodale,12612,117
Ophir,13090,127
Dumaresq Valley,11307,41
Noorong,12971,18
Ellerston,11404,131
Clydesdale (NSW),10942,78
Bumbalong,10667,24
Minjary,12637,37
Bournewood,10525,53
Mabins Well,12428,17
Hillsborough (Maitland - NSW),11910,41
Wirrinya,14342,89
Mayers Flat,12529,51
Nullica,13033,8
Anabranch North,10051,9
Comobella,10997,59
Mount Tomah,12795,76
Gorge Creek,11719,11
Sodwalls,13568,70
Upper Duck Creek,14023,6
Salisbury (NSW),13464,58
Rockton,13382,30
Doctor George Mountain,11263,58
Boonal,10492,43
Cherry Tree Hill,10897,68
Rugby,13438,73
Thule,13854,32
Rivertree,13369,17
Green Point (Gosford - NSW),11754,169
Bumbaldry,10666,100
Cowabbie,11096,17
Bora Ridge,10507,113
Tomalla,13891,21
Rowlands Creek,13432,74
Gowrie (Tamworth Regional - NSW),11730,92
Terreel,13803,7
Hereford Hall,11893,24
Roseberry,13403,42
Middle Flat,12605,54
Bindera,10364,30
Morago,12719,38
Kickabil,12121,50
Tombong,13892,14
Number One,13036,27
Main Creek,12446,88
Mount Horeb,12764,27
Dundurrabin,11315,97
The Glen (NSW),13823,4
Wang Wauk,14132,87
Sandy Gully (NSW),13484,23
Meringo,12576,103
Stanborough,13645,67
Pericoe,13187,13
Redlands,13341,36
Upper Tooloom,14046,45
Dunkeld (NSW),11322,47
Wanganui,14134,52
Waugorah,14198,9
Naradhan,12894,79
Kookabookra,12184,7
Dunville Loop,11327,8
Jacky Bulbin Flat,11995,24
Colly Blue,10981,31
Twin Rivers,13991,35
Ulan,14002,58
Lostock,12392,58
Kyarran,12223,17
Dargan,11207,94
Savernake,13496,94
Piney Range,13218,72
Wombat Creek (NSW),14365,7
Fine Flower,11517,28
Central Colo,10874,27
Levenstrath,12310,40
Bar Point,10188,64
Breakfast Creek,10556,48
Chakola,10881,47
Chilcotts Creek,10902,3
Reefton (NSW),13344,41
Paringi,13150,15
Elrington,11407,115
Meroo,12578,37
Strathcedar,13673,80
Mount Hope (NSW),12763,19
Yarrawa,14484,98
Boomey,10488,76
Pine Camp,13212,18
Shooters Hill,13541,37
Torrington (NSW),13919,81
Wambool,14124,35
Willala,14294,57
Anembo,10055,66
Coombadjha,11039,18
Maragle,12483,58
Mirannie,12646,71
Jerrabattgulla,12015,11
Gumbalie,11798,9
Upper Growee,14027,8
Dyraaba,11339,98
Lansdowne (Canterbury-Bankstown - NSW),12272,17
Wheeny Creek,14269,19
Walcha Road,14094,54
Weismantels,14217,28
Washpool (Mid-Coast - NSW),14179,36
Trentham Cliffs,13936,69
Croppa Creek,11125,120
New Mexico,12944,52
Goobarragandra,11698,70
Sandigo,13475,84
Barigan,10200,9
Berambing,10300,106
Trewilga,13937,34
Conimbia,11009,12
Freemans Waterhole,11565,99
Arable,10068,12
Gala Vale,11578,3
French Park,11567,32
Moorilda,12713,26
Bulyeroi,10665,15
Berrico,10315,32
Elvina Bay,11410,86
Cottage Point,11086,98
Quandary,13289,44
Cooleys Creek,11030,8
Kindervale,12144,18
Wapengo,14139,69
Kundibakh,12210,74
Yalbraith,14454,19
Harolds Cross,11855,53
Oberne Creek,13067,46
Moggs Swamp,12658,33
Tichborne,13861,78
Mallan,12456,53
Comberton,10991,31
Gidginbung,11615,65
Uarbry,13999,49
Summer Hill (Dungog - NSW),13686,55
Paradise (NSW),13149,16
Springfield (Snowy Monaro Regional - NSW),13624,39
Worlds End (NSW),14419,5
Elcombe,11390,31
Tilba Tilba,13864,95
Falconer,11486,50
Ravensworth (NSW),13322,12
Judds Creek,12043,16
Bald Ridge,10149,9
Mutawintji,12869,32
Topi Topi,13917,53
Tooloon,13905,49
Tooloom,13904,24
Fosters Valley,11552,82
Wetuppa,14265,9
Tenandra,13788,83
Wollar,14351,69
Jerrong,12020,14
Dewitt,11247,12
Monivae,12681,33
Derriwong,11243,38
Gowang,11728,21
Codrington (NSW),10957,68
The Pinnacles,13833,85
Calamia,10749,13
Hacks Ferry,11829,15
Bylong,10730,23
Waitui,14087,105
Lower Mangrove,12409,65
Bucca Wauka,10626,82
Essington,11443,95
Mebul,12552,40
Back Creek (Tenterfield - NSW),10127,14
Newbold,12947,7
Mountain Lagoon,12806,90
Lower Pappinbarra,12410,115
Koonyum Range,12189,15
Acacia Creek,10013,42
Kindee,12143,94
Fishermans Bay,11522,63
Batar Creek,10226,80
Haystack,11878,6
Morning Bay,12725,39
Jones Island,12041,59
Forest Glen (NSW),11542,65
Lagoon Grass,12236,54
Purfleet,13275,127
Caffreys Flat,10746,49
Louth,12394,43
Barretts Creek,10214,13
Couragago,11092,5
Rangari,13313,37
Goonumbla,11715,111
Obanvale,13066,17
Weilmoringle,14216,77
Kikoira,12124,65
Alma Park,10043,55
Palmdale (NSW),13134,96
Langley Vale,12269,44
Moombooldool,12695,30
Terry Hie Hie,13806,72
Lilyvale (NSW),12326,5
Deua River Valley,11245,76
Narrangullen,12907,27
Ferodale,11512,83
Paddys River (Wingecarribee - NSW),13119,31
Upper Colo,14017,60
Hazelgrove,11882,85
Dorrigo Mountain,11279,98
Rocky Glen,13385,80
Dhulura,11249,47
Bureen,10693,61
Dilkoon,11256,51
Dry Plain,11295,42
Gurnang,11818,125
Cross Roads (NSW),11126,17
Cooplacurripa,11050,12
Barry (Upper Hunter Shire - NSW),10219,4
Clifden,10931,24
Wyangle,14435,47
Dalmorton,11192,4
Jerangle,12011,96
Fernside,11510,48
Canonba,10795,22
Lower Duck Creek,12405,23
Panuara,13146,70
Red Hill (Tamworth Regional - NSW),13331,23
Ournie,13104,33
Alison (Central Coast - NSW),10034,95
